scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050,Units
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,H2 central production,CO2,0,0,0.004582888,0.013309518,0.012273521,0.012086972,0.011728644,0.008175702,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,H2 wholesale dispensing,CO2,0,0,0.00593154,0.01572093,0.02594847,0.03588627,0.04557935,0.04991436,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,base load generation,CO2,0.490089604,0.080195693,0.061256978,0.07167083,0.040055399,0.034830689,0.035274327,0.030647298,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,coal to liquids,CO2,0,0,0,0,1.88E-08,1.27E-08,7.49E-08,1.41E-07,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,comm cooking,CO2,0.01073264,0.010549137,0.009616525,0.009612608,0.008790287,0.008687535,0.008615431,0.008268838,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,comm cooling,CO2,1.08E-04,1.05E-04,9.80E-05,9.62E-05,9.39E-05,9.36E-05,9.21E-05,9.22E-05,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,comm heating,CO2,0.4408741,0.39193154,0.35174733,0.32574996,0.27485253,0.22883354,0.14286318,0.121287708,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,comm hot water,CO2,0.03468619,0.03439628,0.032336178,0.032578294,0.030122001,0.028450896,0.025960287,0.024045154,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,comm other,CO2,0.1278468,0.1256281,0.1234572,0.1236689,0.1147029,0.1071918,0.1053078,0.098379,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,gas to liquids,CO2,0,0,0,0,1.95E-04,3.29E-04,0.001178253,0.003608005,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,intermediate generation,CO2,0.277182593,0.137623873,0.183122101,0.194646708,0.20179438,0.212991969,0.233687839,0.259976843,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,oil refining,CO2,0.406679,0.375477,0.336541,0.28429,0.21719316,0.190101742,0.173174565,0.118238863,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,other industrial energy use,CO2,3.28952912,3.003474683,3.092737649,3.325150215,3.389478111,3.546457765,3.695618732,3.633371573,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,peak generation,CO2,0.003845106,0.002005009,0.002663381,0.002475771,0.002087883,0.001723202,0.00141453,0.001092157,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AK,regional biomass,CO2,-0.141091,-0.132974,-0.130157,-0.137469,-0.133739,-0.127293,-0.119064,-0.118646,MTC
