scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
"	GCAM-USA_updatedRef",AK,base load generation,CH4,0,0,0,6.78E-08,9.28E-07,1.79E-06,3.18E-06,4.78E-06
"	GCAM-USA_updatedRef",AK,base load generation,N2O,0,0,0,1.62E-07,2.21E-06,4.26E-06,7.54E-06,1.14E-05
"	GCAM-USA_updatedRef",AK,base load generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,base load generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,base load generation,CH4,4.35E-04,1.64E-04,1.68E-04,1.93E-04,1.86E-04,1.81E-04,1.82E-04,1.86E-04
"	GCAM-USA_updatedRef",AK,base load generation,N2O,0.00148702,5.60E-04,5.75E-04,6.59E-04,6.08E-04,5.69E-04,5.39E-04,5.16E-04
"	GCAM-USA_updatedRef",AK,base load generation,CH4,2.01E-04,1.26E-05,2.50E-05,1.19E-05,8.23E-06,6.90E-06,5.50E-06,4.93E-06
"	GCAM-USA_updatedRef",AK,base load generation,N2O,0.0028757,1.81E-04,3.61E-04,1.70E-04,1.18E-04,9.89E-05,7.87E-05,7.06E-05
"	GCAM-USA_updatedRef",AK,comm cooking,CH4,4.93E-04,4.88E-04,4.78E-04,4.90E-04,5.05E-04,5.28E-04,5.50E-04,5.78E-04
"	GCAM-USA_updatedRef",AK,comm cooking,N2O,5.30E-05,5.24E-05,5.13E-05,5.24E-05,5.42E-05,5.66E-05,5.90E-05,6.23E-05
"	GCAM-USA_updatedRef",AK,comm cooling,HFC125,0.00245,0.002527,0.0024885,0.0025725,0.0026565,0.0026985,0.0027895,0.0029155
"	GCAM-USA_updatedRef",AK,comm cooling,HFC134a,0.004493994,0.004635785,0.004566719,0.004721651,0.004874879,0.004948279,0.005114601,0.005345878
"	GCAM-USA_updatedRef",AK,comm cooling,HFC143a,0.00338826,0.00349554,0.0034419,0.00355812,0.00367434,0.00372798,0.00385314,0.00402747
"	GCAM-USA_updatedRef",AK,comm cooling,HFC23,1.06E-05,1.10E-05,1.08E-05,1.12E-05,1.15E-05,1.17E-05,1.21E-05,1.26E-05
"	GCAM-USA_updatedRef",AK,comm cooling,HFC32,2.63E-05,2.71E-05,2.67E-05,2.76E-05,2.85E-05,2.89E-05,2.99E-05,3.13E-05
"	GCAM-USA_updatedRef",AK,comm cooling,CH4,2.38E-06,2.31E-06,2.20E-06,2.15E-06,2.10E-06,2.09E-06,2.07E-06,2.17E-06
"	GCAM-USA_updatedRef",AK,comm cooling,N2O,2.68E-07,2.60E-07,2.21E-07,2.15E-07,1.83E-07,1.96E-07,2.12E-07,2.15E-07
"	GCAM-USA_updatedRef",AK,comm heating,CH4,5.57E-05,5.75E-05,6.20E-05,7.50E-05,9.38E-05,1.10E-04,1.28E-04,1.32E-04
"	GCAM-USA_updatedRef",AK,comm heating,N2O,0.00173436,0.00178502,0.00192508,0.00233036,0.00291444,0.0033972,0.0039634,0.0041124
"	GCAM-USA_updatedRef",AK,comm heating,CH4,3.48E-04,2.70E-04,2.26E-04,1.74E-04,1.23E-04,7.95E-05,0,0
"	GCAM-USA_updatedRef",AK,comm heating,N2O,0.0049468,0.0038144,0.0032184,0.0024734,0.0017433,0.00112942,0,0
"	GCAM-USA_updatedRef",AK,comm heating,CH4,0.00405,0.0036,0.003325,0.003175,0.0031,0.0031,0.00295,0.003175
"	GCAM-USA_updatedRef",AK,comm heating,N2O,4.35E-04,3.87E-04,3.58E-04,3.43E-04,3.34E-04,3.31E-04,3.19E-04,3.40E-04
"	GCAM-USA_updatedRef",AK,comm heating,CH4,3.50E-04,4.02E-04,4.33E-04,4.43E-04,3.98E-04,3.13E-04,1.86E-04,1.27E-04
"	GCAM-USA_updatedRef",AK,comm heating,N2O,0.00105194,0.00120988,0.00129928,0.0013261,0.001192,9.39E-04,5.57E-04,3.81E-04
"	GCAM-USA_updatedRef",AK,comm hot water,CH4,0.001145,0.001015,9.00E-04,7.73E-04,6.60E-04,5.98E-04,5.20E-04,5.60E-04
"	GCAM-USA_updatedRef",AK,comm hot water,N2O,1.23E-04,1.09E-04,9.69E-05,8.31E-05,7.09E-05,6.41E-05,5.57E-05,6.02E-05
"	GCAM-USA_updatedRef",AK,comm hot water,CH4,1.79E-05,1.83E-05,1.86E-05,1.78E-05,1.47E-05,1.05E-05,5.35E-06,3.30E-06
"	GCAM-USA_updatedRef",AK,comm hot water,N2O,5.36E-05,5.51E-05,5.60E-05,5.36E-05,4.41E-05,3.16E-05,1.61E-05,9.95E-06
