FIPS,CTYNAME,STNAME,2017,REF2050,NZ2050,NZ2050RCP
1001,Autauga County,Alabama,41.23078909,37.87664,33.57264,31.41370273
1003,Baldwin County,Alabama,37.87333188,34.48523594,31.15482438,28.9336425
1005,Barbour County,Alabama,36.39525063,33.02794688,30.04600688,27.2052875
1007,Bibb County,Alabama,47.961065,44.82160333,39.61076667,36.80558333
1009,Blount County,Alabama,42.08270923,37.95741462,34.49176385,33.41775462
1011,Bullock County,Alabama,38.19357538,34.49910462,31.04708077,28.13828308
1013,Butler County,Alabama,37.880604,33.96624267,30.32962267,27.864006
1015,Calhoun County,Alabama,42.95486308,39.56295077,35.31194154,34.80314231
1017,Chambers County,Alabama,40.856046,36.591291,32.977519,30.490316
1019,Cherokee County,Alabama,42.855903,38.801467,35.23855,34.869358
1021,Chilton County,Alabama,46.06337667,42.27125333,37.23171,34.8256925
1023,Choctaw County,Alabama,38.7826075,37.61506438,33.61062563,31.18522563
1025,Clarke County,Alabama,37.24480565,35.54236261,31.40641391,29.67974609
1027,Clay County,Alabama,44.06286182,39.42122273,35.02094,32.54892
1029,Cleburne County,Alabama,43.565361,39.512569,34.834754,33.581097
1031,Coffee County,Alabama,34.14519385,30.21985923,27.35433769,25.43816077
1033,Colbert County,Alabama,39.25095333,36.136185,33.19732083,32.08685917
1035,Conecuh County,Alabama,37.04209333,32.87438067,29.71500133,27.275748
1037,Coosa County,Alabama,43.16728818,38.99192636,34.85115455,32.51791
1039,Covington County,Alabama,34.86060444,30.92285944,27.914945,25.85154333
1041,Crenshaw County,Alabama,37.32300273,33.45003818,29.95098636,27.43615636
1043,Cullman County,Alabama,41.53536429,37.08908429,33.7643,32.20976143
1045,Dale County,Alabama,33.690221,30.304786,27.489841,25.181722
1047,Dallas County,Alabama,39.60007684,37.88381105,33.17441368,31.03813263
1049,DeKalb County,Alabama,41.20212385,37.01533692,33.61321231,32.81463769
1051,Elmore County,Alabama,39.906869,36.882934,33.117215,31.261451
1053,Escambia County,Alabama,35.92802833,32.66086167,29.48164222,27.70589611
1055,Etowah County,Alabama,41.21867556,37.39080111,34.05210778,34.28081778
1057,Fayette County,Alabama,39.33071545,36.05860909,31.93187455,30.78780818
1059,Franklin County,Alabama,38.89059917,35.62312167,32.4601625,31.35385833
1061,Geneva County,Alabama,33.778023,30.108929,27.198274,25.244466
1063,Greene County,Alabama,39.42128545,36.33878727,32.23448091,30.67891182
1065,Hale County,Alabama,39.93645,37.06008583,32.99768333,31.37771583
1067,Henry County,Alabama,33.73652375,30.75526625,28.09769625,25.63428
1069,Houston County,Alabama,33.01634727,30.25068818,27.83423909,25.50224091
1071,Jackson County,Alabama,40.536882,37.659837,34.1329815,33.345796
1073,Jefferson County,Alabama,48.10683789,43.55587263,38.31721737,37.29765895
1075,Lamar County,Alabama,38.31262091,35.12761727,31.36584545,30.61690182
1077,Lauderdale County,Alabama,38.88120571,35.43524786,32.93697571,31.85137429
1079,Lawrence County,Alabama,40.58204714,37.346225,33.93281857,32.63188571
1081,Lee County,Alabama,41.08037364,36.38096091,32.41828182,30.24174273
1083,Limestone County,Alabama,40.386795,36.805283,33.510395,32.590409
1085,Lowndes County,Alabama,41.402585,38.7830925,34.0779225,31.24606417
1087,Macon County,Alabama,40.48627909,36.44183182,32.70945091,30.43677364
1089,Madison County,Alabama,40.37194188,37.21098438,33.57546938,33.1002225
1091,Marengo County,Alabama,39.27275625,37.86348625,33.79643688,31.73860125
1093,Marion County,Alabama,38.44554067,35.248802,31.59991333,30.74134067
1095,Marshall County,Alabama,40.69105455,37.01795364,33.57635091,33.13528
1097,Mobile County,Alabama,39.31948333,35.31851125,31.04888917,31.19021208
1099,Monroe County,Alabama,36.961391,34.1195975,30.4019735,27.858675
1101,Montgomery County,Alabama,41.08833071,38.07188643,33.56054429,31.14234357
1103,Morgan County,Alabama,42.58025333,38.53311667,34.72062333,33.84556444
1105,Perry County,Alabama,40.07693615,37.85940077,33.28906538,31.59259385
1107,Pickens County,Alabama,38.63707833,35.55731944,31.79967611,30.29414722
1109,Pike County,Alabama,35.9040725,31.87377417,28.9091575,26.65125833
1111,Randolph County,Alabama,43.766798,38.684435,34.423413,31.089422
1113,Russell County,Alabama,41.72931929,36.98454929,33.489675,29.80169214
1115,St. Clair County,Alabama,44.97061333,40.9709,36.96687167,36.63383167
1117,Shelby County,Alabama,50.49705571,46.56058,40.42498357,38.18896071
1119,Sumter County,Alabama,37.76708579,35.23045053,31.46436474,30.66845632
1121,Talladega County,Alabama,46.38667533,42.32200333,37.298434,35.77417133
1123,Tallapoosa County,Alabama,40.26771375,36.51777313,32.88466188,30.76681938
1125,Tuscaloosa County,Alabama,44.2401172,40.325752,35.2049448,33.1645728
1127,Walker County,Alabama,41.98176429,37.61380714,33.54976929,32.12202143
1129,Washington County,Alabama,36.4017325,33.5587375,29.806118,28.3450205
1131,Wilcox County,Alabama,37.49971313,35.71185063,31.56871875,29.46694125
1133,Winston County,Alabama,40.26784556,36.75770222,32.97637111,31.25062778
4001,Apache County,Arizona,35.23324944,31.70455112,30.8038798,32.50307279
4003,Cochise County,Arizona,32.16050823,30.3316923,29.3784715,29.96404106
4005,Coconino County,Arizona,36.50411916,33.81858805,32.73020706,34.28529844
4007,Gila County,Arizona,33.91799119,31.44110238,30.18270298,32.5499794
4009,Graham County,Arizona,33.29289726,31.1739219,30.06803357,31.30769214
4011,Greenlee County,Arizona,32.48085875,30.23383625,29.37635875,30.69398344
4012,La Paz County,Arizona,32.69375913,31.59388463,30.2960335,35.91681425
4013,Maricopa County,Arizona,33.83761893,31.59212601,30.53658077,33.50057595
4015,Mohave County,Arizona,36.25604806,34.71843207,33.46701314,36.60355508
4017,Navajo County,Arizona,35.27141508,31.97655554,30.89107316,32.56291226
4019,Pima County,Arizona,30.10707922,28.44718108,28.10295873,28.95182307
4021,Pinal County,Arizona,36.31620832,33.56811168,32.40846095,32.28991495
4023,Santa Cruz County,Arizona,32.0319232,30.1586016,29.3198192,28.5378828
4025,Yavapai County,Arizona,34.93044217,32.91063678,31.51474867,34.77163028
4027,Yuma County,Arizona,28.98756891,27.87498386,27.31069158,33.29267356
5001,Arkansas County,Arkansas,41.20095889,38.18583278,34.69483944,31.60718444
5003,Ashley County,Arkansas,38.21351429,36.599025,33.08353857,33.52338571
5005,Baxter County,Arkansas,37.58410364,34.69407455,31.72039727,30.34695727
5007,Benton County,Arkansas,42.80878,38.01946,35.06519933,33.673536
5009,Boone County,Arkansas,38.195842,35.191309,32.255158,30.700611
5011,Bradley County,Arkansas,38.07787308,35.43556077,31.65084077,31.66474
5013,Calhoun County,Arkansas,38.45713364,35.47123091,31.43384636,31.21512091
5015,Carroll County,Arkansas,39.80722917,36.552665,33.626175,31.70548833
5017,Chicot County,Arkansas,38.39069846,36.94544,33.82680692,32.29178462
5019,Clark County,Arkansas,40.42100467,35.80070667,31.89020733,31.71329867
5021,Clay County,Arkansas,38.71747583,36.4347375,33.78554333,35.30240417
5023,Cleburne County,Arkansas,41.31601556,37.65157667,33.96684667,33.72417111
5025,Cleveland County,Arkansas,40.16822364,36.74384818,33.43753455,30.87233182
5027,Columbia County,Arkansas,38.41087071,35.41340286,31.31957143,32.45634571
5029,Conway County,Arkansas,40.9451175,37.3544675,33.9633175,32.73844583
5031,Craighead County,Arkansas,40.41234143,37.83723929,34.86345357,35.35688929
5033,Crawford County,Arkansas,40.62889545,36.52748909,33.30355818,33.12425818
5035,Crittenden County,Arkansas,42.18395,39.45447091,36.07648455,35.36213
5037,Cross County,Arkansas,41.13635091,38.71031818,35.40424545,34.46781
5039,Dallas County,Arkansas,40.44952182,36.01135182,32.13259091,31.14705727
5041,Desha County,Arkansas,39.12084692,37.03277385,34.16808308,31.55293
5043,Drew County,Arkansas,38.61551188,36.32570125,32.93943125,32.15302625
5045,Faulkner County,Arkansas,42.5605225,38.4509025,34.63714083,33.27598083
5047,Franklin County,Arkansas,39.97570636,36.00189727,33.14662455,32.80785545
5049,Fulton County,Arkansas,37.311197,34.472252,31.712569,30.881547
5051,Garland County,Arkansas,39.83932692,35.44770231,32.05552154,31.54136692
5053,Grant County,Arkansas,44.13963231,38.24148154,34.11284231,31.71173923
5055,Greene County,Arkansas,39.26687625,36.85411875,34.2200825,35.413065
5057,Hempstead County,Arkansas,39.96171714,36.29417786,32.17203857,32.04917571
5059,Hot Spring County,Arkansas,41.83845182,36.45323636,32.89314636,32.03607636
5061,Howard County,Arkansas,37.48992889,34.46666444,30.78424667,31.94399889
5063,Independence County,Arkansas,40.91596462,36.82031615,33.24708615,33.92441231
5065,Izard County,Arkansas,37.54622636,34.43601364,31.56063091,31.35948273
5067,Jackson County,Arkansas,41.92247143,38.36553429,34.75200429,34.86970143
5069,Jefferson County,Arkansas,43.60966583,39.05037083,34.906755,31.76460083
5071,Johnson County,Arkansas,38.929436,35.036436,32.356975,32.072422
5073,Lafayette County,Arkansas,38.803046,35.685579,31.333494,32.084552
5075,Lawrence County,Arkansas,39.462657,36.116217,33.071323,34.106462
5077,Lee County,Arkansas,41.36867,38.57136,35.37526231,33.02723846
5079,Lincoln County,Arkansas,40.50001636,37.71188636,34.39785091,31.13531
5081,Little River County,Arkansas,39.00029909,35.80954818,31.96038636,32.79412273
5083,Logan County,Arkansas,39.96114333,36.06453083,33.05328,31.70695583
5085,Lonoke County,Arkansas,43.40065063,39.180485,34.94401563,32.69728688
5087,Madison County,Arkansas,38.72458533,34.92499,32.31518867,31.44424533
5089,Marion County,Arkansas,38.04972714,34.95035714,31.92329714,30.26491714
5091,Miller County,Arkansas,40.066498,36.560381,32.048196,31.806108
5093,Mississippi County,Arkansas,41.07059412,38.25401235,35.38511059,35.31067824
5095,Monroe County,Arkansas,41.26041727,38.24177909,34.84873909,32.49250364
5097,Montgomery County,Arkansas,37.500612,34.129432,30.85394,30.52493733
5099,Nevada County,Arkansas,39.47432923,35.85335615,31.67711,31.34036385
5101,Newton County,Arkansas,37.69012333,34.11037467,31.56155,30.584562
5103,Ouachita County,Arkansas,39.06485462,35.37426769,31.20418385,31.20795462
5105,Perry County,Arkansas,40.7468,36.80545364,33.23350091,31.12479
5107,Phillips County,Arkansas,41.21339917,38.28684417,35.09063917,32.13801833
5109,Pike County,Arkansas,38.616684,34.932385,31.287208,31.889439
5111,Poinsett County,Arkansas,41.35395455,38.62982273,35.38429364,35.03151
5113,Polk County,Arkansas,36.764908,33.412854,30.579396,30.43078333
5115,Pope County,Arkansas,39.45634231,35.47768,32.54234308,31.99069154
5117,Prairie County,Arkansas,42.08995875,38.85732,34.95343563,32.85780063
5119,Pulaski County,Arkansas,45.40318308,39.98730692,35.44492615,33.33926538
5121,Randolph County,Arkansas,37.90123,34.870887,32.067814,33.378524
5123,St. Francis County,Arkansas,41.12782,38.693596,35.343095,33.772612
5125,Saline County,Arkansas,43.88713231,38.40142308,34.42885231,32.69050846
5127,Scott County,Arkansas,37.9773935,34.761466,31.602782,29.9862095
5129,Searcy County,Arkansas,37.76807,34.19550733,31.50432467,30.312172
5131,Sebastian County,Arkansas,40.050743,36.670111,33.323855,31.618907
5133,Sevier County,Arkansas,37.43864833,34.40078083,30.85228333,31.88048667
5135,Sharp County,Arkansas,38.01236636,34.58777455,31.81681364,32.16798818
5137,Stone County,Arkansas,37.96019133,34.69849267,31.836814,31.60974667
