"","FIPS","VALUE","TIMESCALE","POLLUTANT","VERSION","SCENARIO"
"1",1001,35.8112758289684,"july","ozone","xinyuan","elec_2017"
"2",1003,34.1832233730115,"july","ozone","xinyuan","elec_2017"
"3",1005,32.1621006727219,"july","ozone","xinyuan","elec_2017"
"4",1007,33.623094705435,"july","ozone","xinyuan","elec_2017"
"5",1009,35.9481388727824,"july","ozone","xinyuan","elec_2017"
"6",1011,32.5217741452731,"july","ozone","xinyuan","elec_2017"
"7",1013,31.9336829866682,"july","ozone","xinyuan","elec_2017"
"8",1015,37.9994529088338,"july","ozone","xinyuan","elec_2017"
"9",1017,32.9948589324951,"july","ozone","xinyuan","elec_2017"
"10",1019,36.7483062744141,"july","ozone","xinyuan","elec_2017"
"11",1021,35.979250127619,"july","ozone","xinyuan","elec_2017"
"12",1023,31.7501784563065,"july","ozone","xinyuan","elec_2017"
"13",1025,31.8863376119862,"july","ozone","xinyuan","elec_2017"
"14",1027,34.7347592440519,"july","ozone","xinyuan","elec_2017"
"15",1029,35.5790218353272,"july","ozone","xinyuan","elec_2017"
"16",1031,31.1652651566725,"july","ozone","xinyuan","elec_2017"
"17",1033,35.1254524817834,"july","ozone","xinyuan","elec_2017"
"18",1035,31.7957239151001,"july","ozone","xinyuan","elec_2017"
"19",1037,34.2763280001554,"july","ozone","xinyuan","elec_2017"
"20",1039,31.9025240446392,"july","ozone","xinyuan","elec_2017"
"21",1041,31.9745756149292,"july","ozone","xinyuan","elec_2017"
"22",1043,35.2926850318909,"july","ozone","xinyuan","elec_2017"
"23",1045,31.6098545074463,"july","ozone","xinyuan","elec_2017"
"24",1047,34.1085611979167,"july","ozone","xinyuan","elec_2017"
"25",1049,36.0062825339181,"july","ozone","xinyuan","elec_2017"
"26",1051,34.6450531005859,"july","ozone","xinyuan","elec_2017"
"27",1053,32.7182994169347,"july","ozone","xinyuan","elec_2017"
"28",1055,36.7555362701416,"july","ozone","xinyuan","elec_2017"
"29",1057,33.0620900934393,"july","ozone","xinyuan","elec_2017"
"30",1059,34.2002531687419,"july","ozone","xinyuan","elec_2017"
"31",1061,31.01755027771,"july","ozone","xinyuan","elec_2017"
"32",1063,32.728155708313,"july","ozone","xinyuan","elec_2017"
"33",1065,33.5815467834473,"july","ozone","xinyuan","elec_2017"
"34",1067,32.185320854187,"july","ozone","xinyuan","elec_2017"
"35",1069,32.5226286107844,"july","ozone","xinyuan","elec_2017"
"36",1071,35.568154335022,"july","ozone","xinyuan","elec_2017"
"37",1073,38.0101474962736,"july","ozone","xinyuan","elec_2017"
"38",1075,32.7919429432262,"july","ozone","xinyuan","elec_2017"
"39",1077,35.1509056091309,"july","ozone","xinyuan","elec_2017"
"40",1079,34.8831464327299,"july","ozone","xinyuan","elec_2017"
"41",1081,34.0816251581365,"july","ozone","xinyuan","elec_2017"
"42",1083,36.2993003845215,"july","ozone","xinyuan","elec_2017"
"43",1085,33.7978917635404,"july","ozone","xinyuan","elec_2017"
"44",1087,33.831446907737,"july","ozone","xinyuan","elec_2017"
"45",1089,36.4217128753662,"july","ozone","xinyuan","elec_2017"
"46",1091,34.2279043197632,"july","ozone","xinyuan","elec_2017"
"47",1093,33.3640078226725,"july","ozone","xinyuan","elec_2017"
"48",1095,35.0432683771307,"july","ozone","xinyuan","elec_2017"
"49",1097,35.411917040425,"july","ozone","xinyuan","elec_2017"
"50",1099,31.826903776689,"july","ozone","xinyuan","elec_2017"
"51",1101,35.0400141398112,"july","ozone","xinyuan","elec_2017"
"52",1103,35.9627261691623,"july","ozone","xinyuan","elec_2017"
"53",1105,33.7599815955529,"july","ozone","xinyuan","elec_2017"
"54",1107,32.2939357757569,"july","ozone","xinyuan","elec_2017"
"55",1109,31.8825751940409,"july","ozone","xinyuan","elec_2017"
"56",1111,33.8807231903076,"july","ozone","xinyuan","elec_2017"
"57",1113,34.3726828438895,"july","ozone","xinyuan","elec_2017"
"58",1115,39.3073765436808,"july","ozone","xinyuan","elec_2017"
"59",1117,39.0155405317034,"july","ozone","xinyuan","elec_2017"
"60",1119,32.7948003768921,"july","ozone","xinyuan","elec_2017"
"61",1121,37.4136492411296,"july","ozone","xinyuan","elec_2017"
"62",1123,33.2740716934204,"july","ozone","xinyuan","elec_2017"
"63",1125,32.8814270782471,"july","ozone","xinyuan","elec_2017"
"64",1127,34.6284071115347,"july","ozone","xinyuan","elec_2017"
"65",1129,31.2318856981066,"july","ozone","xinyuan","elec_2017"
"66",1131,33.1277050971985,"july","ozone","xinyuan","elec_2017"
"67",1133,34.0729891459147,"july","ozone","xinyuan","elec_2017"
"68",4001,43.4008824920654,"july","ozone","xinyuan","elec_2017"
"69",4003,38.7874377090319,"july","ozone","xinyuan","elec_2017"
"70",4005,43.7222020252641,"july","ozone","xinyuan","elec_2017"
"71",4007,38.6048716349774,"july","ozone","xinyuan","elec_2017"
"72",4009,39.2224706013997,"july","ozone","xinyuan","elec_2017"
"73",4011,40.2051047156839,"july","ozone","xinyuan","elec_2017"
"74",4012,38.006007617033,"july","ozone","xinyuan","elec_2017"
"75",4013,37.4469613467946,"july","ozone","xinyuan","elec_2017"
"76",4015,42.6888798058278,"july","ozone","xinyuan","elec_2017"
"77",4017,42.8438449579444,"july","ozone","xinyuan","elec_2017"
"78",4019,35.8076339440843,"july","ozone","xinyuan","elec_2017"
"79",4021,38.0252772967021,"july","ozone","xinyuan","elec_2017"
"80",4023,37.2403498840332,"july","ozone","xinyuan","elec_2017"
"81",4025,40.0119100450636,"july","ozone","xinyuan","elec_2017"
"82",4027,35.2643204120674,"july","ozone","xinyuan","elec_2017"
"83",5001,35.9172282499426,"july","ozone","xinyuan","elec_2017"
"84",5003,35.0158408028739,"july","ozone","xinyuan","elec_2017"
"85",5005,35.4253460566203,"july","ozone","xinyuan","elec_2017"
"86",5007,38.255236232982,"july","ozone","xinyuan","elec_2017"
"87",5009,36.7363998413086,"july","ozone","xinyuan","elec_2017"
"88",5011,33.092292198768,"july","ozone","xinyuan","elec_2017"
"89",5013,33.1703130548651,"july","ozone","xinyuan","elec_2017"
"90",5015,36.8941629583185,"july","ozone","xinyuan","elec_2017"
"91",5017,33.9552547748272,"july","ozone","xinyuan","elec_2017"
"92",5019,34.7386032104492,"july","ozone","xinyuan","elec_2017"
"93",5021,37.4006506601969,"july","ozone","xinyuan","elec_2017"
"94",5023,36.0966651916504,"july","ozone","xinyuan","elec_2017"
"95",5025,32.7630868391557,"july","ozone","xinyuan","elec_2017"
"96",5027,32.7385093144008,"july","ozone","xinyuan","elec_2017"
"97",5029,36.2883545557658,"july","ozone","xinyuan","elec_2017"
"98",5031,37.8139171600342,"july","ozone","xinyuan","elec_2017"
"99",5033,37.4977625066584,"july","ozone","xinyuan","elec_2017"
"100",5035,36.5025544600053,"july","ozone","xinyuan","elec_2017"
"101",5037,36.31047335538,"july","ozone","xinyuan","elec_2017"
"102",5039,33.2521483103434,"july","ozone","xinyuan","elec_2017"
"103",5041,34.5302866617839,"july","ozone","xinyuan","elec_2017"
"104",5043,33.2109687328339,"july","ozone","xinyuan","elec_2017"
"105",5045,36.9689398545485,"july","ozone","xinyuan","elec_2017"
"106",5047,37.0723457336426,"july","ozone","xinyuan","elec_2017"
"107",5049,36.0769191741943,"july","ozone","xinyuan","elec_2017"
"108",5051,35.2570296067458,"july","ozone","xinyuan","elec_2017"
"109",5053,33.5012652079264,"july","ozone","xinyuan","elec_2017"
"110",5055,37.8345249176025,"july","ozone","xinyuan","elec_2017"
"111",5057,36.7258259909494,"july","ozone","xinyuan","elec_2017"
"112",5059,34.8450008739125,"july","ozone","xinyuan","elec_2017"
"113",5061,35.2682361602783,"july","ozone","xinyuan","elec_2017"
"114",5063,36.7646868779109,"july","ozone","xinyuan","elec_2017"
"115",5065,35.4756976040927,"july","ozone","xinyuan","elec_2017"
"116",5067,36.9354863848005,"july","ozone","xinyuan","elec_2017"
"117",5069,35.1262769063314,"july","ozone","xinyuan","elec_2017"
"118",5071,36.064436340332,"july","ozone","xinyuan","elec_2017"
"119",5073,34.2026579115126,"july","ozone","xinyuan","elec_2017"
"120",5075,36.3103309631348,"july","ozone","xinyuan","elec_2017"
"121",5077,36.2001997140738,"july","ozone","xinyuan","elec_2017"
"122",5079,33.5201656341553,"july","ozone","xinyuan","elec_2017"
"123",5081,36.3298934936523,"july","ozone","xinyuan","elec_2017"
"124",5083,36.6958230825571,"july","ozone","xinyuan","elec_2017"
"125",5085,36.3756473064423,"july","ozone","xinyuan","elec_2017"
"126",5087,36.5745149339948,"july","ozone","xinyuan","elec_2017"
"127",5089,35.5711309644911,"july","ozone","xinyuan","elec_2017"
"128",5091,36.1183392206828,"july","ozone","xinyuan","elec_2017"
"129",5093,38.0955767912023,"july","ozone","xinyuan","elec_2017"
"130",5095,36.3902865323154,"july","ozone","xinyuan","elec_2017"
"131",5097,35.3608355204264,"july","ozone","xinyuan","elec_2017"
"132",5099,34.94349024846,"july","ozone","xinyuan","elec_2017"
"133",5101,35.6756751537323,"july","ozone","xinyuan","elec_2017"
"134",5103,33.1612745431753,"july","ozone","xinyuan","elec_2017"
"135",5105,35.999510678378,"july","ozone","xinyuan","elec_2017"
"136",5107,35.6375576899602,"july","ozone","xinyuan","elec_2017"
"137",5109,35.521089553833,"july","ozone","xinyuan","elec_2017"
"138",5111,37.013859835538,"july","ozone","xinyuan","elec_2017"
"139",5113,36.0725634256999,"july","ozone","xinyuan","elec_2017"
"140",5115,35.6920843857985,"july","ozone","xinyuan","elec_2017"
"141",5117,36.6592119657076,"july","ozone","xinyuan","elec_2017"
"142",5119,36.2489954630534,"july","ozone","xinyuan","elec_2017"
"143",5121,35.7113319396973,"july","ozone","xinyuan","elec_2017"
"144",5123,36.0597015380859,"july","ozone","xinyuan","elec_2017"
"145",5125,35.3627344767253,"july","ozone","xinyuan","elec_2017"
"146",5127,36.1951564989592,"july","ozone","xinyuan","elec_2017"
"147",5129,35.3724572317941,"july","ozone","xinyuan","elec_2017"
"148",5131,38.0021072387695,"july","ozone","xinyuan","elec_2017"
"149",5133,35.4842189153035,"july","ozone","xinyuan","elec_2017"
"150",5135,35.5186441594904,"july","ozone","xinyuan","elec_2017"
"151",5137,35.0948810577393,"july","ozone","xinyuan","elec_2017"
"152",5139,33.0653747717539,"july","ozone","xinyuan","elec_2017"
"153",5141,35.4372978210449,"july","ozone","xinyuan","elec_2017"
"154",5143,37.4756716559915,"july","ozone","xinyuan","elec_2017"
"155",5145,36.860024134318,"july","ozone","xinyuan","elec_2017"
"156",5147,36.3167031028054,"july","ozone","xinyuan","elec_2017"
"157",5149,35.687814950943,"july","ozone","xinyuan","elec_2017"
"158",6001,34.3052700587682,"july","ozone","xinyuan","elec_2017"
"159",6003,48.8442802429199,"july","ozone","xinyuan","elec_2017"
"160",6005,46.7907798073509,"july","ozone","xinyuan","elec_2017"
"161",6007,45.031421661377,"july","ozone","xinyuan","elec_2017"
"162",6009,47.4703169430003,"july","ozone","xinyuan","elec_2017"
"163",6011,39.4980397657914,"july","ozone","xinyuan","elec_2017"
"164",6013,35.7039947509766,"july","ozone","xinyuan","elec_2017"
"165",6015,23.26830109306,"july","ozone","xinyuan","elec_2017"
"166",6017,46.9111438874275,"july","ozone","xinyuan","elec_2017"
"167",6019,47.8711642674037,"july","ozone","xinyuan","elec_2017"
"168",6021,41.3319677269977,"july","ozone","xinyuan","elec_2017"
"169",6023,21.8421349138827,"july","ozone","xinyuan","elec_2017"
"170",6025,43.4507630211966,"july","ozone","xinyuan","elec_2017"
"171",6027,49.1968407183062,"july","ozone","xinyuan","elec_2017"
"172",6029,49.4610206551022,"july","ozone","xinyuan","elec_2017"
"173",6031,47.5202644348145,"july","ozone","xinyuan","elec_2017"
"174",6033,35.5853730906611,"july","ozone","xinyuan","elec_2017"
"175",6035,46.2810851407338,"july","ozone","xinyuan","elec_2017"
"176",6037,48.110708009629,"july","ozone","xinyuan","elec_2017"
"177",6039,48.8577494234652,"july","ozone","xinyuan","elec_2017"
"178",6041,22.8186209542411,"july","ozone","xinyuan","elec_2017"
"179",6043,51.7472669813368,"july","ozone","xinyuan","elec_2017"
"180",6045,24.4960242285245,"july","ozone","xinyuan","elec_2017"
"181",6047,44.6833518346151,"july","ozone","xinyuan","elec_2017"
"182",6049,44.9774784790842,"july","ozone","xinyuan","elec_2017"
"183",6051,49.6051051746715,"july","ozone","xinyuan","elec_2017"
"184",6053,34.863839662992,"july","ozone","xinyuan","elec_2017"
"185",6055,31.8612887859344,"july","ozone","xinyuan","elec_2017"
"186",6057,46.1002751400596,"july","ozone","xinyuan","elec_2017"
"187",6059,42.66878106859,"july","ozone","xinyuan","elec_2017"
"188",6061,46.1058310100011,"july","ozone","xinyuan","elec_2017"
"189",6063,45.571023050944,"july","ozone","xinyuan","elec_2017"
"190",6065,46.2711432196877,"july","ozone","xinyuan","elec_2017"
"191",6067,43.2989179611206,"july","ozone","xinyuan","elec_2017"
"192",6069,39.1188844272069,"july","ozone","xinyuan","elec_2017"
"193",6071,49.229711091618,"july","ozone","xinyuan","elec_2017"
"194",6073,43.5998908855297,"july","ozone","xinyuan","elec_2017"
"195",6075,23.6029391288757,"july","ozone","xinyuan","elec_2017"
"196",6077,46.2793426513672,"july","ozone","xinyuan","elec_2017"
"197",6079,36.6301968314431,"july","ozone","xinyuan","elec_2017"
"198",6081,24.0101718902588,"july","ozone","xinyuan","elec_2017"
"199",6083,36.0274565253459,"july","ozone","xinyuan","elec_2017"
"200",6085,37.8626440366109,"july","ozone","xinyuan","elec_2017"
"201",6087,26.7082786560059,"july","ozone","xinyuan","elec_2017"
"202",6089,43.4718415396554,"july","ozone","xinyuan","elec_2017"
"203",6091,45.6747021394617,"july","ozone","xinyuan","elec_2017"
"204",6093,38.1662663732256,"july","ozone","xinyuan","elec_2017"
"205",6095,34.8481765985489,"july","ozone","xinyuan","elec_2017"
"206",6097,24.6053859341529,"july","ozone","xinyuan","elec_2017"
"207",6099,47.1642781010381,"july","ozone","xinyuan","elec_2017"
"208",6101,41.331510925293,"july","ozone","xinyuan","elec_2017"
"209",6103,43.2372375770851,"july","ozone","xinyuan","elec_2017"
"210",6105,34.5327709339283,"july","ozone","xinyuan","elec_2017"
"211",6107,52.1051516865575,"july","ozone","xinyuan","elec_2017"
"212",6109,49.2560018495072,"july","ozone","xinyuan","elec_2017"
"213",6111,42.077014875412,"july","ozone","xinyuan","elec_2017"
"214",6113,37.9890816632439,"july","ozone","xinyuan","elec_2017"
"215",6115,44.7433287880638,"july","ozone","xinyuan","elec_2017"
"216",8001,49.2763603210449,"july","ozone","xinyuan","elec_2017"
"217",8003,44.8907651901245,"july","ozone","xinyuan","elec_2017"
"218",8005,49.8310518264771,"july","ozone","xinyuan","elec_2017"
"219",8007,43.1683294677734,"july","ozone","xinyuan","elec_2017"
"220",8009,44.2320787217882,"july","ozone","xinyuan","elec_2017"
"221",8011,46.0883514086405,"july","ozone","xinyuan","elec_2017"
"222",8013,50.4207811355591,"july","ozone","xinyuan","elec_2017"
"223",8014,51.4386367797852,"july","ozone","xinyuan","elec_2017"
"224",8015,48.4089895549573,"july","ozone","xinyuan","elec_2017"
